"person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","log_person_income"
26,3e+05,"MORTGAGE",0,"EDUCATION","D",25000,15.33,"0",0.08,"N",3,12.6115377536383
25,3e+05,"MORTGAGE",9,"HOMEIMPROVEMENT","E",18000,16.45,"0",0.06,"N",3,12.6115377536383
26,80690,"RENT",8,"PERSONAL","A",30000,7.49,"1",0.37,"N",3,11.2983699308426
22,66300,"RENT",4,"MEDICAL","B",30000,12.69,"1",0.38,"N",3,11.101945176174
24,78000,"RENT",4,"DEBTCONSOLIDATION","D",30000,NA,"1",0.38,"Y",4,11.2644641056717
23,92004,"RENT",6,"PERSONAL","C",30000,15.23,"1",0.33,"Y",3,11.4295873333469
26,280000,"RENT",4,"PERSONAL","C",10000,15.96,"0",0.04,"Y",3,12.5425448821514
24,12000,"OWN",2,"VENTURE","E",1750,NA,"0",0.15,"Y",3,9.39266192877014
21,131000,"RENT",0,"VENTURE","A",30000,5.99,"0",0.23,"N",4,11.7829526021833
25,221850,"MORTGAGE",9,"MEDICAL","D",25000,15.7,"1",0.1,"N",2,12.3097567568071
22,70000,"RENT",6,"EDUCATION","D",29100,15.99,"1",0.42,"N",3,11.1562505210315
22,12000,"MORTGAGE",7,"EDUCATION","D",1500,14.84,"0",0.13,"Y",3,9.39266192877014
26,260000,"OWN",10,"HOMEIMPROVEMENT","B",28000,10.99,"0",0.11,"N",3,12.4684369099977
24,255000,"MORTGAGE",9,"EDUCATION","A",9600,6.99,"0",0.04,"N",2,12.4490188241406
25,250000,"RENT",2,"MEDICAL","C",25000,13.49,"0",0.1,"N",4,12.4292161968444
25,12000,"OWN",0,"MEDICAL","C",3000,NA,"1",0.25,"N",3,9.39266192877014
22,56950,"RENT",6,"MEDICAL","A",28000,NA,"1",0.49,"N",2,10.9499289688753
21,12000,"OWN",6,"EDUCATION","C",3000,13.61,"1",0.25,"Y",3,9.39266192877014
23,65000,"RENT",2,"EDUCATION","A",28000,7.9,"1",0.43,"N",2,11.0821425488778
26,12000,"OWN",2,"EDUCATION","A",6100,7.51,"1",0.51,"N",3,9.39266192877014
22,88000,"RENT",6,"VENTURE","B",28000,9.91,"1",0.32,"N",3,11.3850920934603
21,12000,"OWN",0,"PERSONAL","C",4200,13.48,"1",0.35,"Y",4,9.39266192877014
22,12000,"OWN",6,"DEBTCONSOLIDATION","A",4750,7.14,"1",0.4,"N",2,9.39266192877014
24,83004,"RENT",0,"VENTURE","D",28000,15.99,"1",0.34,"Y",4,11.3266440783886
NA,250000,"RENT",4,"VENTURE","C",4800,13.57,"0",0.02,"N",3,12.4292161968444
26,12000,"OWN",0,"DEBTCONSOLIDATION","A",2700,NA,"1",0.23,"N",4,9.39266192877014
22,108000,"RENT",6,"EDUCATION","B",28000,NA,"1",0.26,"N",4,11.5898865061064
23,151200,"RENT",7,"DEBTCONSOLIDATION","B",28000,11.11,"0",0.19,"N",2,11.9263587427276
24,69000,"RENT",2,"HOMEIMPROVEMENT","A",27600,NA,"1",0.4,"N",2,11.1418617835794
21,12000,"MORTGAGE",5,"DEBTCONSOLIDATION","E",3250,15.68,"1",0.27,"Y",3,9.39266192877014
22,240000,"OWN",6,"PERSONAL","B",25000,NA,"0",0.1,"N",2,12.3883942023241
26,73200,"RENT",5,"VENTURE","D",27050,15.62,"1",0.37,"Y",2,11.2009506999494
24,83000,"RENT",5,"PERSONAL","C",27000,13.49,"1",0.33,"Y",2,11.3265958867787
24,73399,"RENT",0,"VENTURE","D",27000,NA,"1",0.37,"N",3,11.2036655905316
23,62500,"RENT",7,"MEDICAL","B",26000,11.71,"1",0.42,"N",2,11.0429218357245
22,60000,"RENT",0,"VENTURE","B",25475,10.99,"1",0.42,"N",3,11.0020998412042
25,234000,"MORTGAGE",3,"MEDICAL","C",20000,14.27,"0",0.09,"Y",4,12.3630763943398
24,234000,"OWN",8,"HOMEIMPROVEMENT","B",20000,8.88,"0",0.09,"N",4,12.3630763943398
26,234000,"MORTGAGE",10,"HOMEIMPROVEMENT","B",21600,12.18,"0",0.09,"N",3,12.3630763943398
25,221004,"MORTGAGE",6,"DEBTCONSOLIDATION","D",11900,14.42,"1",0.05,"Y",3,12.3059360798836
26,232500,"MORTGAGE",0,"MEDICAL","C",25000,14.17,"0",0.11,"Y",2,12.3566455040095
25,230000,"MORTGAGE",5,"MEDICAL","C",35000,13.99,"0",0.15,"N",4,12.3458345879053
25,12600,"OWN",3,"PERSONAL","C",1750,13.61,"0",0.14,"N",3,9.44145209293957
26,226000,"MORTGAGE",4,"HOMEIMPROVEMENT","B",20000,11.49,"0",0.09,"N",4,12.3282902782544
25,225000,"MORTGAGE",0,"HOMEIMPROVEMENT","E",30000,19.91,"0",0.13,"Y",2,12.3238556811866
26,213000,"MORTGAGE",6,"EDUCATION","B",35000,10.65,"1",0.16,"N",2,12.2690474446916
22,42000,"RENT",6,"MEDICAL","D",25000,14.59,"1",0.6,"Y",2,10.6454248972655
26,48000,"RENT",2,"EDUCATION","B",25000,9.64,"1",0.52,"N",4,10.77895628989
25,12996,"OWN",1,"MEDICAL","D",3600,14.59,"1",0.28,"N",3,9.47239689678899
22,12996,"OWN",1,"EDUCATION","B",4750,NA,"1",0.37,"N",3,9.47239689678899
25,42360,"RENT",1,"EDUCATION","E",25000,16.35,"1",0.59,"Y",3,10.6539597997153
26,225000,"RENT",1,"EDUCATION","A",3000,9.32,"0",0.01,"N",4,12.3238556811866
23,225000,"RENT",8,"DEBTCONSOLIDATION","A",7500,8.63,"0",0.03,"N",2,12.3238556811866
26,225000,"MORTGAGE",2,"VENTURE","B",25000,10.08,"0",0.11,"N",2,12.3238556811866
23,50000,"RENT",1,"DEBTCONSOLIDATION","A",25000,7.9,"1",0.5,"N",3,10.8197782844103
23,50000,"RENT",1,"VENTURE","B",25000,11.83,"1",0.5,"N",4,10.8197782844103
22,50004,"RENT",0,"VENTURE","B",25000,10.36,"1",0.5,"N",2,10.8198582812105
22,50004,"RENT",3,"VENTURE","C",25000,12.23,"1",0.5,"N",3,10.8198582812105
22,52000,"RENT",2,"EDUCATION","B",25000,11.11,"1",0.48,"N",4,10.8589989975636
23,13200,"OWN",3,"DEBTCONSOLIDATION","A",4950,7.9,"1",0.38,"N",4,9.48797210857446
24,220000,"MORTGAGE",1,"EDUCATION","B",25000,11.58,"0",0.11,"N",2,12.3013828253345
25,216000,"MORTGAGE",2,"EDUCATION","D",25000,16.07,"0",0.12,"N",3,12.2830336866663
26,216000,"MORTGAGE",10,"EDUCATION","C",20000,14.22,"0",0.09,"Y",2,12.2830336866663
23,52000,"RENT",1,"PERSONAL","C",25000,13.22,"1",0.48,"N",2,10.8589989975636
26,46000,"RENT",2,"DEBTCONSOLIDATION","D",25000,11.86,"1",0.54,"N",4,10.7363966754712
22,53000,"RENT",5,"EDUCATION","C",25000,13.43,"1",0.47,"Y",4,10.8780471925343
26,47000,"RENT",0,"HOMEIMPROVEMENT","D",25000,15.28,"1",0.53,"Y",2,10.7579028806922
23,47000,"RENT",1,"VENTURE","E",25000,17.93,"1",0.53,"N",2,10.7579028806922
23,13200,"MORTGAGE",2,"EDUCATION","B",1400,9.25,"0",0.11,"N",4,9.48797210857446
21,13200,"OWN",0,"VENTURE","C",4500,12.98,"1",0.34,"N",4,9.48797210857446
22,210000,"MORTGAGE",6,"VENTURE","B",16000,10.62,"0",0.08,"N",4,12.2548628096996
26,210000,"OWN",10,"PERSONAL","B",22000,11.83,"0",0.1,"N",4,12.2548628096996
24,55000,"RENT",4,"HOMEIMPROVEMENT","D",25000,NA,"1",0.45,"Y",4,10.9150884642146
23,55000,"RENT",4,"EDUCATION","D",25000,15.65,"1",0.45,"Y",3,10.9150884642146
24,55164,"RENT",8,"PERSONAL","C",25000,13.22,"1",0.45,"Y",4,10.9180658455942
24,203500,"OWN",8,"MEDICAL","C",20000,13.04,"0",0.1,"N",3,12.2234212838648
23,190000,"MORTGAGE",5,"EDUCATION","F",22000,17.58,"1",0.12,"Y",3,12.1547793511426
23,13920,"OWN",2,"PERSONAL","E",7750,17.04,"1",0.56,"N",4,9.54108193388841
24,60000,"RENT",2,"PERSONAL","B",25000,11.11,"1",0.42,"N",3,11.0020998412042
23,14000,"OWN",2,"DEBTCONSOLIDATION","D",4000,NA,"1",0.29,"N",3,9.5468126085974
21,2e+05,"MORTGAGE",5,"EDUCATION","C",16000,14.65,"0",0.08,"N",4,12.2060726455302
25,54000,"RENT",3,"HOMEIMPROVEMENT","E",25000,16.82,"1",0.46,"N",4,10.8967393255464
23,60000,"RENT",3,"PERSONAL","C",25000,12.73,"1",0.42,"N",3,11.0020998412042
23,60000,"RENT",7,"PERSONAL","B",25000,10.25,"1",0.42,"N",4,11.0020998412042
21,60000,"RENT",6,"EDUCATION","B",25000,10.99,"1",0.42,"N",4,11.0020998412042
25,61959,"RENT",9,"MEDICAL","C",25000,12.73,"1",0.4,"N",2,11.0342281549558
22,56400,"RENT",2,"HOMEIMPROVEMENT","D",25000,14.96,"1",0.44,"Y",3,10.9402244374862
23,2e+05,"MORTGAGE",7,"EDUCATION","A",28000,NA,"0",0.14,"N",2,12.2060726455302
21,2e+05,"MORTGAGE",2,"DEBTCONSOLIDATION","C",25000,13.99,"0",0.13,"N",2,12.2060726455302
26,2e+05,"MORTGAGE",4,"EDUCATION","C",15000,14.79,"0",0.07,"N",3,12.2060726455302
25,2e+05,"MORTGAGE",2,"DEBTCONSOLIDATION","B",15500,11.99,"0",0.08,"N",2,12.2060726455302
24,2e+05,"RENT",8,"EDUCATION","A",10000,8.49,"0",0.05,"N",4,12.2060726455302
22,66000,"RENT",6,"EDUCATION","C",25000,13.06,"1",0.38,"Y",3,11.0974100210086
25,2e+05,"MORTGAGE",2,"VENTURE","B",12000,10.38,"0",0.06,"N",2,12.2060726455302
24,2e+05,"MORTGAGE",8,"DEBTCONSOLIDATION","B",20000,NA,"0",0.1,"N",3,12.2060726455302
24,60000,"RENT",2,"DEBTCONSOLIDATION","E",25000,NA,"1",0.42,"Y",2,11.0020998412042
21,14400,"OWN",0,"HOMEIMPROVEMENT","B",3000,NA,"1",0.21,"N",4,9.57498348556409
23,67000,"RENT",3,"EDUCATION","A",25000,7.9,"1",0.37,"N",4,11.1124478983731
24,67000,"RENT",2,"VENTURE","B",25000,10.99,"1",0.37,"N",3,11.1124478983731
25,69000,"RENT",9,"PERSONAL","D",25000,17.49,"1",0.36,"N",2,11.1418617835794
26,188000,"MORTGAGE",10,"VENTURE","E",20000,17.74,"1",0.11,"N",2,12.1441972418121
26,2e+05,"MORTGAGE",4,"PERSONAL","C",3000,13.92,"0",0.01,"N",3,12.2060726455302
25,69996,"RENT",9,"EDUCATION","D",25000,15.21,"1",0.36,"N",3,11.1561933765416
24,14400,"OWN",5,"PERSONAL","A",6000,7.49,"1",0.42,"N",3,9.57498348556409
24,56100,"RENT",7,"MEDICAL","D",25000,16.49,"1",0.38,"N",4,10.9348910915108
25,66000,"RENT",9,"VENTURE","D",25000,15.33,"1",0.38,"Y",2,11.0974100210086
26,66000,"RENT",3,"HOMEIMPROVEMENT","B",25000,11.58,"1",0.38,"N",4,11.0974100210086
25,14400,"OWN",7,"EDUCATION","A",5375,5.79,"1",0.37,"N",2,9.57498348556409
25,72612,"RENT",9,"MEDICAL","C",25000,13.11,"1",0.34,"N",2,11.1928854764103
23,74000,"RENT",3,"MEDICAL","B",25000,10.36,"1",0.34,"N",3,11.2118203721863
25,75000,"RENT",9,"DEBTCONSOLIDATION","B",25000,10.36,"1",0.33,"N",2,11.2252433925184
25,191000,"MORTGAGE",1,"MEDICAL","B",10000,12.53,"0",0.05,"N",4,12.1600287070288
26,190300,"MORTGAGE",5,"PERSONAL","A",15000,NA,"0",0.08,"N",3,12.1563570532842
22,190000,"MORTGAGE",3,"VENTURE","C",10000,NA,"0",0.05,"N",3,12.1547793511426
22,71000,"RENT",1,"EDUCATION","D",25000,15.95,"1",0.35,"Y",4,11.1704351560235
26,190000,"MORTGAGE",3,"VENTURE","B",20000,12.18,"0",0.11,"N",4,12.1547793511426
23,78504,"RENT",7,"VENTURE","B",25000,10.74,"1",0.32,"N",3,11.2709048578863
25,186000,"OWN",9,"VENTURE","B",10000,10.25,"0",0.05,"N",4,12.1335019526953
24,185000,"MORTGAGE",NA,"EDUCATION","B",35000,12.42,"0",0.19,"N",2,12.1281111040605
25,185000,"RENT",6,"VENTURE","C",15000,15.27,"0",0.08,"N",2,12.1281111040605
24,62050,"RENT",8,"MEDICAL","D",25000,15.33,"1",0.34,"Y",2,11.0356957906328
23,79416,"RENT",7,"VENTURE","D",25000,15.21,"1",0.31,"Y",2,11.2824551382696
24,79631,"RENT",8,"PERSONAL","D",25000,15.7,"1",0.31,"Y",2,11.2851587432538
24,79632,"RENT",0,"EDUCATION","C",25000,13.35,"1",0.31,"N",4,11.2851713010983
21,14400,"MORTGAGE",0,"MEDICAL","C",1500,NA,"0",0.1,"N",4,9.57498348556409
24,80000,"RENT",6,"EDUCATION","A",25000,6.62,"1",0.31,"N",2,11.289781913656
26,80000,"RENT",5,"DEBTCONSOLIDATION","C",25000,13.61,"1",0.31,"N",4,11.289781913656
23,184000,"OWN",5,"EDUCATION","B",2500,11.83,"0",0.01,"N",2,12.1226910365911
24,172000,"MORTGAGE",6,"DEBTCONSOLIDATION","C",20000,13.47,"1",0.12,"Y",4,12.0552497557956
22,183000,"MORTGAGE",3,"EDUCATION","A",1000,NA,"0",0.01,"N",2,12.1172414318236
25,182952,"MORTGAGE",9,"PERSONAL","A",15000,6.03,"0",0.08,"N",3,12.1169791023362
26,74004,"RENT",10,"DEBTCONSOLIDATION","D",25000,NA,"1",0.34,"Y",4,11.2118744247795
25,81000,"RENT",5,"DEBTCONSOLIDATION","A",25000,7.29,"1",0.31,"N",3,11.3022044336546
23,81600,"RENT",1,"MEDICAL","B",25000,11.36,"1",0.31,"N",3,11.3095845409522
24,82000,"RENT",8,"VENTURE","B",25000,10.25,"0",0.3,"N",2,11.3144745262464
24,83000,"RENT",5,"PERSONAL","D",25000,12.92,"0",0.3,"Y",3,11.3265958867787
22,14400,"OWN",0,"PERSONAL","B",2100,11.14,"0",0.15,"N",4,9.57498348556409
22,84500,"RENT",6,"PERSONAL","F",25000,18.3,"0",0.3,"N",4,11.3445068133453
24,85000,"RENT",5,"MEDICAL","B",25000,10.62,"0",0.29,"N",4,11.3504065354725
26,180000,"MORTGAGE",2,"VENTURE","B",12000,9.63,"0",0.07,"N",4,12.1007121298723
25,142800,"MORTGAGE",9,"MEDICAL","F",10000,18.25,"1",0.06,"N",4,11.8692003288876
23,14664,"MORTGAGE",0,"DEBTCONSOLIDATION","C",6000,NA,"1",0.41,"N",4,9.59315078951954
24,87000,"RENT",8,"HOMEIMPROVEMENT","D",25000,14.84,"0",0.29,"N",3,11.3736633976367
24,75000,"RENT",0,"VENTURE","E",25000,14.7,"1",0.33,"Y",3,11.2252433925184
23,76000,"RENT",7,"DEBTCONSOLIDATION","D",25000,16.02,"1",0.33,"N",4,11.2384886192685
23,66215,"RENT",1,"MEDICAL","D",25000,15.37,"1",0.32,"Y",2,11.1006623023611
25,90000,"RENT",9,"MEDICAL","B",25000,10.99,"0",0.28,"N",4,11.4075649493124
21,15000,"OWN",0,"HOMEIMPROVEMENT","A",6200,7.9,"1",0.41,"N",2,9.61580548008435
26,180000,"OWN",2,"PERSONAL","B",25000,10.99,"0",0.14,"N",4,12.1007121298723
24,180000,"OWN",8,"EDUCATION","B",21000,11.48,"0",0.12,"N",3,12.1007121298723
25,180000,"OWN",9,"MEDICAL","C",20000,14.26,"0",0.11,"Y",4,12.1007121298723
26,180000,"OWN",0,"HOMEIMPROVEMENT","A",10000,8,"0",0.06,"N",4,12.1007121298723
23,15000,"OWN",7,"MEDICAL","B",4475,NA,"1",0.3,"N",4,9.61580548008435
25,66300,"RENT",3,"MEDICAL","E",25000,17.93,"1",0.32,"Y",4,11.101945176174
23,90000,"RENT",0,"DEBTCONSOLIDATION","B",25000,11.36,"0",0.28,"N",3,11.4075649493124
23,15000,"MORTGAGE",1,"MEDICAL","C",1750,12.68,"0",0.12,"Y",3,9.61580548008435
23,70550,"RENT",3,"MEDICAL","F",25000,19.04,"1",0.3,"Y",4,11.164076957281
25,83800,"RENT",2,"DEBTCONSOLIDATION","D",25000,15.95,"1",0.3,"Y",3,11.3361882864702
26,175000,"MORTGAGE",3,"VENTURE","A",2600,8.9,"0",0.01,"N",4,12.0725412529057
25,175000,"MORTGAGE",10,"HOMEIMPROVEMENT","A",8000,7.9,"0",0.05,"N",2,12.0725412529057
22,175000,"MORTGAGE",6,"EDUCATION","B",18000,NA,"0",0.1,"N",2,12.0725412529057
23,175000,"MORTGAGE",8,"PERSONAL","B",21000,11.99,"0",0.12,"N",3,12.0725412529057
23,15000,"OWN",4,"DEBTCONSOLIDATION","C",4000,13.98,"1",0.27,"N",4,9.61580548008435
23,15000,"OWN",4,"VENTURE","B",4600,10.99,"1",0.31,"N",2,9.61580548008435
22,88000,"RENT",6,"DEBTCONSOLIDATION","D",25000,15.58,"1",0.28,"Y",2,11.3850920934603
25,74800,"RENT",2,"MEDICAL","B",25000,10.99,"1",0.28,"N",2,11.2225731639626
25,88000,"RENT",0,"VENTURE","D",25000,14.96,"1",0.28,"N",4,11.3850920934603
25,15000,"OWN",2,"HOMEIMPROVEMENT","D",1750,15.31,"0",0.12,"Y",4,9.61580548008435
25,1e+05,"RENT",1,"VENTURE","B",25000,9.33,"0",0.25,"N",4,11.5129254649702
24,102400,"RENT",8,"PERSONAL","B",25000,10.36,"0",0.24,"N",3,11.5366419915875
24,92000,"RENT",1,"HOMEIMPROVEMENT","E",25000,16.77,"1",0.27,"Y",4,11.4295438560312
23,93000,"RENT",0,"DEBTCONSOLIDATION","D",25000,14.59,"1",0.27,"Y",2,11.4403547721354
23,175000,"MORTGAGE",3,"EDUCATION","A",7200,8.38,"0",0.04,"N",3,12.0725412529057
25,174000,"MORTGAGE",2,"DEBTCONSOLIDATION","C",8800,14.27,"0",0.05,"N",3,12.0668105781967
26,174000,"RENT",8,"DEBTCONSOLIDATION","B",12000,12.53,"0",0.07,"N",4,12.0668105781967
26,173467,"MORTGAGE",10,"VENTURE","B",10000,11.71,"0",0.06,"N",4,12.0637426585493
25,96000,"RENT",2,"HOMEIMPROVEMENT","E",25000,15.68,"1",0.26,"Y",4,11.47210347045
24,97908,"RENT",8,"HOMEIMPROVEMENT","D",25000,12.61,"1",0.26,"Y",2,11.4917835412168
26,110000,"RENT",3,"PERSONAL","C",25000,NA,"0",0.23,"Y",2,11.6082356447746
23,15204,"MORTGAGE",7,"PERSONAL","A",2800,8.49,"1",0.18,"N",3,9.62931383010914
25,159600,"RENT",0,"PERSONAL","D",30000,17.27,"1",0.19,"Y",4,11.9804259639978
24,171500,"RENT",6,"DEBTCONSOLIDATION","A",18000,8.9,"0",0.1,"N",4,12.0523385455881
25,170004,"MORTGAGE",3,"MEDICAL","B",10000,11.11,"0",0.06,"N",4,12.0435772451674
24,158004,"RENT",0,"HOMEIMPROVEMENT","D",25000,14.59,"1",0.16,"Y",2,11.9703756281443
24,83300,"RENT",0,"MEDICAL","D",25000,NA,"1",0.26,"N",2,11.3302038281549
24,110000,"RENT",7,"HOMEIMPROVEMENT","D",25000,15.7,"0",0.23,"Y",2,11.6082356447746
22,15360,"OWN",7,"HOMEIMPROVEMENT","B",2500,12.53,"1",0.16,"N",3,9.63952200670166
25,134300,"RENT",3,"MEDICAL","D",5000,16.49,"1",0.03,"N",2,11.8078313825113
25,170000,"MORTGAGE",2,"EDUCATION","A",20000,7.49,"0",0.12,"N",2,12.0435537160324
25,113000,"RENT",7,"MEDICAL","C",25000,12.73,"0",0.22,"Y",4,11.6351430976945
24,120000,"RENT",8,"EDUCATION","B",25000,10.65,"0",0.21,"N",4,11.6952470217642
25,120000,"RENT",6,"MEDICAL","B",25000,10.74,"0",0.21,"N",2,11.6952470217642
23,120000,"RENT",7,"EDUCATION","B",25000,9.99,"0",0.21,"N",2,11.6952470217642
24,91800,"RENT",5,"MEDICAL","D",25000,15.33,"1",0.23,"Y",2,11.4273675766086
26,108000,"RENT",2,"PERSONAL","D",25000,15.05,"1",0.23,"N",3,11.5898865061064
26,129996,"RENT",6,"PERSONAL","B",25000,10.75,"0",0.19,"N",3,11.7752589597336
23,130000,"RENT",4,"EDUCATION","D",25000,16.02,"0",0.19,"Y",2,11.7752897294377
23,130000,"RENT",7,"VENTURE","B",25000,11.49,"0",0.19,"N",4,11.7752897294377
25,170000,"OWN",4,"EDUCATION","B",20000,12.53,"0",0.12,"N",4,12.0435537160324
26,170000,"MORTGAGE",0,"VENTURE","C",12000,13.57,"0",0.07,"Y",2,12.0435537160324
26,168750,"RENT",10,"MEDICAL","C",24250,12.87,"0",0.14,"Y",3,12.0361736087348
24,168288,"RENT",5,"HOMEIMPROVEMENT","B",1800,11.12,"0",0.01,"N",3,12.0334320763891
25,168000,"MORTGAGE",2,"PERSONAL","B",35000,10.65,"0",0.21,"N",2,12.0317192583854
24,133300,"RENT",6,"DEBTCONSOLIDATION","B",25000,10.37,"0",0.19,"N",2,11.8003575061668
24,15600,"OWN",5,"HOMEIMPROVEMENT","A",3300,6.39,"1",0.21,"N",4,9.65502619323763
25,134000,"RENT",7,"MEDICAL","B",25000,10.62,"0",0.19,"N",2,11.805595078933
25,135000,"RENT",5,"EDUCATION","B",25000,11.36,"0",0.19,"N",4,11.8130300574206
26,135660,"RENT",10,"DEBTCONSOLIDATION","B",25000,12.53,"0",0.18,"N",4,11.8179070345001
25,145000,"RENT",0,"EDUCATION","B",25000,9.99,"0",0.17,"N",4,11.8844890214027
23,150000,"RENT",4,"EDUCATION","B",25000,10.36,"0",0.17,"N",3,11.9183905730784
23,165000,"MORTGAGE",3,"EDUCATION","A",9600,5.99,"0",0.06,"N",3,12.0137007528827
22,153000,"MORTGAGE",5,"DEBTCONSOLIDATION","D",24000,15.62,"1",0.16,"Y",2,11.9381932003746
24,165000,"MORTGAGE",5,"PERSONAL","B",20000,10.37,"0",0.12,"N",4,12.0137007528827
25,165000,"MORTGAGE",0,"HOMEIMPROVEMENT","F",25000,19.74,"0",0.15,"N",4,12.0137007528827
21,165000,"MORTGAGE",5,"EDUCATION","A",20000,6.91,"0",0.12,"N",4,12.0137007528827
23,16000,"OWN",7,"MEDICAL","A",6000,7.9,"1",0.38,"N",2,9.68034400122192
23,16000,"MORTGAGE",3,"DEBTCONSOLIDATION","C",2275,13.06,"0",0.14,"Y",4,9.68034400122192
23,148000,"RENT",1,"DEBTCONSOLIDATION","E",25000,14.93,"1",0.17,"N",3,11.9049675527463
23,16000,"MORTGAGE",1,"MEDICAL","C",5600,12.84,"1",0.35,"N",4,9.68034400122192
22,16094,"MORTGAGE",2,"VENTURE","A",5500,7.14,"1",0.34,"N",3,9.68620181070608
25,175000,"RENT",2,"PERSONAL","A",25000,8.9,"0",0.14,"N",2,12.0725412529057
24,185000,"RENT",7,"HOMEIMPROVEMENT","C",25000,12.68,"0",0.14,"Y",2,12.1281111040605
22,160000,"MORTGAGE",0,"MEDICAL","B",35000,10.65,"0",0.22,"N",4,11.982929094216
25,225000,"RENT",5,"VENTURE","B",25000,11.86,"0",0.11,"N",4,12.3238556811866
25,16400,"OWN",1,"PERSONAL","A",5000,8.94,"1",0.3,"N",4,9.70503661381229
23,16500,"OWN",6,"VENTURE","B",4375,9.63,"1",0.27,"N",4,9.71111565988867
23,60000,"RENT",4,"DEBTCONSOLIDATION","B",24750,9.33,"1",0.41,"N",3,11.0020998412042
24,84200,"RENT",8,"MEDICAL","C",24500,13.85,"0",0.29,"N",4,11.3409502002304
22,16800,"MORTGAGE",5,"EDUCATION","B",2000,10.65,"0",0.12,"N",2,9.72913416539135
24,92000,"RENT",8,"MEDICAL","B",24500,11.46,"0",0.27,"N",4,11.4295438560312
26,160000,"RENT",6,"PERSONAL","C",25000,12.23,"0",0.16,"Y",4,11.982929094216
25,54000,"RENT",2,"PERSONAL","C",24250,13.98,"1",0.45,"N",4,10.8967393255464
23,62500,"RENT",1,"EDUCATION","B",24250,10.62,"1",0.39,"N",4,11.0429218357245
25,68400,"RENT",9,"PERSONAL","E",24250,17.56,"1",0.35,"N",4,11.1331281036106
22,74000,"RENT",7,"DEBTCONSOLIDATION","D",24250,15.65,"1",0.33,"Y",2,11.2118203721863
24,89908,"RENT",1,"VENTURE","B",24250,12.53,"0",0.27,"N",3,11.4065422042647
23,1e+05,"RENT",0,"PERSONAL","C",24250,12.87,"0",0.24,"Y",2,11.5129254649702
23,103000,"RENT",6,"PERSONAL","D",24250,15.7,"0",0.24,"N",2,11.5424842672118
25,160000,"MORTGAGE",2,"EDUCATION","A",9000,NA,"0",0.06,"N",3,11.982929094216
25,160000,"OWN",5,"VENTURE","B",15000,11.14,"0",0.09,"N",4,11.982929094216
24,160000,"MORTGAGE",3,"VENTURE","D",20000,16,"0",0.13,"N",3,11.982929094216
23,160000,"MORTGAGE",2,"EDUCATION","D",25000,15.65,"0",0.16,"Y",2,11.982929094216
21,160000,"MORTGAGE",3,"VENTURE","D",15250,15.31,"0",0.1,"Y",4,11.982929094216
22,16800,"MORTGAGE",0,"HOMEIMPROVEMENT","C",4750,13.85,"1",0.28,"Y",2,9.72913416539135
25,111996,"RENT",9,"PERSONAL","D",24250,NA,"0",0.22,"N",3,11.6262184353537
25,115200,"RENT",0,"HOMEIMPROVEMENT","B",24250,11.36,"0",0.21,"N",2,11.6544250272439
23,144000,"RENT",0,"EDUCATION","B",24250,11.83,"0",0.17,"N",3,11.8775685785581
23,287000,"RENT",3,"EDUCATION","B",24250,12.53,"0",0.08,"N",3,12.5672374947418
