"person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","log_person_income"
25,19000,"RENT",0,"DEBTCONSOLIDATION","C",750,12.29,"0",0.04,"Y",4,9.85219425814858
23,10000,"RENT",NA,"PERSONAL","B",1000,10.37,"1",0.1,"N",2,9.21034037197618
21,10140,"RENT",NA,"HOMEIMPROVEMENT","C",1000,13.43,"1",0.1,"N",4,9.22424327714517
25,50000,"RENT",2,"HOMEIMPROVEMENT","B",19000,10.99,"1",0.38,"N",4,10.8197782844103
23,78000,"RENT",2,"VENTURE","A",19000,8.9,"0",0.24,"N",2,11.2644641056717
22,36500,"RENT",0,"VENTURE","A",18725,6.54,"1",0.51,"N",3,10.5050675395706
21,24000,"MORTGAGE",0,"VENTURE","A",3000,7.9,"0",0.13,"N",4,10.0858091093301
26,145000,"RENT",3,"EDUCATION","C",18500,12.87,"0",0.13,"Y",3,11.8844890214027
24,35004,"RENT",3,"PERSONAL","B",18250,11.49,"1",0.52,"N",4,10.4632176196557
22,24000,"MORTGAGE",4,"VENTURE","A",1300,5.42,"0",0.05,"N",3,10.0858091093301
25,49200,"RENT",NA,"VENTURE","D",18250,14.83,"1",0.37,"N",3,10.8036489024804
25,39000,"RENT",3,"MEDICAL","E",18000,17.19,"1",0.46,"N",3,10.5713169251118
23,24000,"OWN",NA,"PERSONAL","B",4200,10.99,"0",0.17,"N",4,10.0858091093301
26,50000,"RENT",5,"EDUCATION","C",18000,13.11,"1",0.36,"N",3,10.8197782844103
25,55000,"RENT",2,"EDUCATION","C",18000,12.84,"1",0.33,"N",2,10.9150884642146
25,55344,"RENT",2,"HOMEIMPROVEMENT","B",18000,10.99,"1",0.33,"N",4,10.921323531177
24,56000,"RENT",2,"EDUCATION","C",18000,13.48,"1",0.32,"N",3,10.9331069697173
22,62000,"RENT",0,"MEDICAL","C",18000,13.85,"0",0.29,"Y",4,11.0348896640272
24,24000,"OWN",2,"VENTURE","A",10000,6.92,"0",0.42,"N",4,10.0858091093301
25,65000,"RENT",9,"HOMEIMPROVEMENT","C",18000,13.99,"0",0.28,"N",3,11.0821425488778
26,60000,"RENT",2,"HOMEIMPROVEMENT","D",18000,16.29,"1",0.3,"Y",2,11.0020998412042
25,24000,"MORTGAGE",0,"VENTURE","D",1200,15.21,"0",0.05,"Y",4,10.0858091093301
23,75000,"RENT",7,"EDUCATION","C",18000,12.73,"0",0.24,"Y",4,11.2252433925184
25,24000,"MORTGAGE",2,"PERSONAL","D",3500,15.58,"1",0.15,"Y",2,10.0858091093301
23,75576,"RENT",7,"EDUCATION","B",18000,9.88,"0",0.24,"N",3,11.232894051449
23,81000,"RENT",7,"MEDICAL","C",18000,13.98,"0",0.22,"N",2,11.3022044336546
23,82000,"RENT",7,"MEDICAL","A",18000,NA,"0",0.22,"N",2,11.3144745262464
26,24000,"MORTGAGE",5,"PERSONAL","C",2100,13.11,"0",0.09,"N",3,10.0858091093301
22,144500,"RENT",5,"DEBTCONSOLIDATION","C",18000,13.72,"0",0.12,"N",3,11.8810347865346
24,155000,"RENT",8,"EDUCATION","B",18000,10.62,"0",0.12,"N",4,11.9511803959014
26,130000,"RENT",2,"PERSONAL","A",17950,NA,"0",0.14,"N",2,11.7752897294377
23,24091,"MORTGAGE",5,"PERSONAL","C",3500,12.99,"0",0.15,"Y",2,10.0895936057478
24,72250,"RENT",5,"MEDICAL","E",17600,17.19,"1",0.21,"Y",4,11.1878876059747
24,40800,"RENT",6,"MEDICAL","B",17500,10.62,"1",0.43,"N",4,10.6164373603923
24,24468,"OWN",NA,"HOMEIMPROVEMENT","B",5000,10.75,"0",0.2,"N",3,10.1051214203625
25,44000,"RENT",6,"EDUCATION","B",17500,12.53,"1",0.4,"N",4,10.6919449129004
21,24960,"MORTGAGE",0,"PERSONAL","C",2000,13.99,"0",0.08,"Y",3,10.1250298224834
22,58000,"RENT",0,"EDUCATION","A",17475,7.51,"0",0.3,"N",3,10.9681982895286
24,82000,"RENT",7,"PERSONAL","B",17400,11.99,"0",0.21,"N",4,11.3144745262464
24,96000,"RENT",1,"DEBTCONSOLIDATION","B",17400,10.37,"0",0.18,"N",2,11.47210347045
26,29400,"RENT",1,"HOMEIMPROVEMENT","C",17000,12.99,"1",0.58,"Y",2,10.2887499533268
22,40000,"RENT",1,"DEBTCONSOLIDATION","B",17000,10.65,"1",0.42,"N",4,10.5966347330961
25,49896,"RENT",7,"EDUCATION","E",17000,16.82,"1",0.34,"N",3,10.817696118206
24,55782,"RENT",3,"DEBTCONSOLIDATION","A",17000,7.51,"0",0.3,"N",3,10.9292065156839
25,72000,"RENT",NA,"MEDICAL","A",17000,7.88,"0",0.24,"N",3,11.1844213979982
23,78000,"RENT",5,"MEDICAL","B",17000,10.99,"0",0.22,"N",3,11.2644641056717
22,96000,"RENT",6,"PERSONAL","B",17000,11.48,"0",0.18,"N",2,11.47210347045
22,25000,"MORTGAGE",4,"EDUCATION","A",1800,8.49,"0",0.07,"N",2,10.1266311038503
23,36000,"RENT",2,"MEDICAL","D",16750,15.28,"1",0.47,"Y",4,10.4912742174382
22,44500,"RENT",1,"DEBTCONSOLIDATION","B",16750,10.75,"1",0.38,"N",4,10.7032444681543
24,54000,"RENT",0,"PERSONAL","G",16750,20.11,"1",0.31,"Y",2,10.8967393255464
25,57504,"RENT",2,"HOMEIMPROVEMENT","A",16500,9.32,"1",0.29,"N",3,10.9596097895833
25,25000,"OWN",3,"EDUCATION","A",3000,6.76,"0",0.12,"N",2,10.1266311038503
24,45000,"RENT",1,"PERSONAL","C",16425,13.49,"1",0.36,"Y",2,10.7144177687525
21,25000,"MORTGAGE",4,"VENTURE","C",2800,NA,"0",0.11,"Y",3,10.1266311038503
24,25000,"MORTGAGE",3,"DEBTCONSOLIDATION","A",7000,9.32,"0",0.28,"N",2,10.1266311038503
26,25000,"MORTGAGE",1,"VENTURE","C",12000,12.09,"1",0.48,"N",2,10.1266311038503
21,25000,"OWN",0,"MEDICAL","B",8800,9.33,"0",0.35,"N",3,10.1266311038503
26,25104,"OWN",0,"DEBTCONSOLIDATION","D",5400,16.49,"0",0.22,"N",2,10.1307824749728
25,25200,"OWN",5,"HOMEIMPROVEMENT","D",1200,15.99,"0",0.05,"Y",3,10.1345992734995
25,58000,"RENT",9,"PERSONAL","A",16000,NA,"0",0.28,"N",2,10.9681982895286
22,25200,"MORTGAGE",0,"MEDICAL","B",1000,11.48,"1",0.04,"N",3,10.1345992734995
23,25480,"MORTGAGE",7,"PERSONAL","B",5000,9.99,"0",0.2,"N",3,10.1456491096861
21,65000,"RENT",5,"PERSONAL","B",16000,9.91,"0",0.25,"N",3,11.0821425488778
22,65000,"RENT",6,"MEDICAL","A",16000,8.49,"0",0.25,"N",4,11.0821425488778
22,25992,"OTHER",6,"DEBTCONSOLIDATION","B",3000,9.45,"0",0.12,"N",3,10.1655440773489
23,62500,"RENT",4,"DEBTCONSOLIDATION","D",16000,14.54,"1",0.26,"N",2,11.0429218357245
23,63000,"RENT",0,"EDUCATION","D",16000,14.42,"1",0.25,"N",3,11.0508900053737
26,75000,"RENT",1,"VENTURE","B",16000,NA,"0",0.21,"N",2,11.2252433925184
23,26000,"OWN",7,"PERSONAL","B",2000,10.36,"0",0.08,"N",2,10.1658518170036
25,23712,"RENT",9,"MEDICAL","B",1000,11.49,"0",0.04,"N",2,10.0737365280958
21,24960,"RENT",0,"EDUCATION","C",1000,13.98,"0",0.04,"N",4,10.1250298224834
26,29000,"RENT",2,"MEDICAL","A",1000,7.74,"0",0.03,"N",4,10.2750511089686
23,30000,"RENT",NA,"VENTURE","A",1000,7.49,"0",0.03,"N",3,10.3089526606443
22,26004,"MORTGAGE",1,"EDUCATION","A",5000,5.42,"0",0.19,"N",4,10.1660056513244
25,34800,"RENT",0,"MEDICAL","C",1000,13.98,"0",0.03,"Y",3,10.4573726657626
22,36000,"RENT",1,"PERSONAL","A",1000,7.68,"0",0.03,"N",4,10.4912742174382
26,38000,"RENT",6,"PERSONAL","C",1000,15.27,"0",0.03,"Y",3,10.5453414387085
21,38400,"RENT",5,"PERSONAL","C",1000,14.22,"0",0.03,"Y",3,10.5558127385758
26,64000,"RENT",NA,"DEBTCONSOLIDATION","B",1000,10.75,"0",0.02,"N",3,11.0666383623418
23,77000,"RENT",3,"VENTURE","B",1150,10.95,"0",0.01,"N",2,11.2515607008358
24,9960,"RENT",4,"VENTURE","A",1200,7.29,"0",0.12,"N",4,9.20633235057864
22,14400,"RENT",0,"PERSONAL","B",1200,10.37,"0",0.08,"N",2,9.57498348556409
21,16200,"RENT",3,"EDUCATION","A",1200,7.49,"0",0.07,"N",3,9.69276652122048
23,27000,"OWN",4,"VENTURE","A",6400,7.9,"0",0.24,"N",2,10.2035921449865
22,27000,"OWN",0,"MEDICAL","B",7750,10.37,"0",0.29,"N",3,10.2035921449865
22,34560,"RENT",2,"MEDICAL","E",1200,19.29,"1",0.03,"N",4,10.450452222918
22,27000,"MORTGAGE",1,"EDUCATION","B",12000,NA,"1",0.44,"N",3,10.2035921449865
22,27000,"MORTGAGE",2,"DEBTCONSOLIDATION","B",5000,12.18,"0",0.19,"N",4,10.2035921449865
26,41000,"RENT",1,"MEDICAL","A",1300,7.9,"0",0.03,"N",4,10.6213273456864
22,54000,"RENT",4,"DEBTCONSOLIDATION","C",1300,14.27,"1",0.02,"Y",2,10.8967393255464
24,10000,"RENT",0,"VENTURE","B",1400,10.83,"0",0.14,"N",4,9.21034037197618
23,27350,"MORTGAGE",5,"VENTURE","B",1925,NA,"0",0.07,"N",3,10.2164718078501
24,27442,"MORTGAGE",8,"DEBTCONSOLIDATION","B",5175,10.99,"0",0.19,"N",4,10.2198299654811
24,27600,"OWN",8,"MEDICAL","A",7000,7.9,"0",0.25,"N",4,10.2255710517052
25,27600,"MORTGAGE",1,"HOMEIMPROVEMENT","A",11500,6.03,"1",0.42,"N",4,10.2255710517052
22,27600,"MORTGAGE",6,"DEBTCONSOLIDATION","A",8400,7.51,"0",0.3,"N",3,10.2255710517052
23,30000,"RENT",1,"PERSONAL","D",1450,15.58,"1",0.05,"N",4,10.3089526606443
24,27000,"RENT",1,"MEDICAL","D",1500,16.29,"1",0.06,"Y",4,10.2035921449865
21,30000,"RENT",0,"DEBTCONSOLIDATION","A",1500,7.29,"0",0.05,"N",3,10.3089526606443
26,30000,"RENT",0,"HOMEIMPROVEMENT","D",1500,14.61,"1",0.05,"Y",3,10.3089526606443
23,31000,"RENT",1,"DEBTCONSOLIDATION","A",1500,8.94,"0",0.05,"N",3,10.3417424834673
24,30996,"RENT",0,"HOMEIMPROVEMENT","D",1500,15.99,"1",0.05,"Y",2,10.3416134428838
21,42000,"RENT",5,"EDUCATION","A",1500,5.79,"0",0.04,"N",3,10.6454248972655
22,28000,"MORTGAGE",5,"EDUCATION","A",8500,6.17,"0",0.3,"N",2,10.2399597891573
22,42500,"RENT",0,"MEDICAL","E",1500,17.19,"1",0.04,"Y",4,10.6572593549125
24,50400,"RENT",8,"DEBTCONSOLIDATION","A",1500,NA,"0",0.03,"N",4,10.8277464540595
25,50500,"RENT",0,"MEDICAL","B",1500,11.89,"0",0.03,"N",3,10.8297286152635
24,54000,"RENT",8,"MEDICAL","C",1500,14.17,"0",0.03,"Y",2,10.8967393255464
24,57996,"RENT",2,"DEBTCONSOLIDATION","B",1500,10.75,"0",0.03,"N",4,10.9681293216331
23,28800,"RENT",1,"PERSONAL","D",1675,15.21,"1",0.06,"Y",2,10.268130666124
23,46300,"RENT",0,"PERSONAL","A",1675,6.54,"0",0.04,"N",3,10.7428972400743
23,17688,"RENT",0,"PERSONAL","B",1700,11.11,"0",0.1,"N",3,9.78064172253728
23,10000,"RENT",1,"DEBTCONSOLIDATION","D",1750,15.05,"1",0.17,"Y",3,9.21034037197618
26,22000,"RENT",2,"MEDICAL","B",1750,NA,"0",0.08,"N",3,9.99879773234045
26,96000,"RENT",2,"HOMEIMPROVEMENT","A",1750,6.54,"0",0.02,"N",2,11.47210347045
23,22800,"RENT",5,"EDUCATION","A",1775,6.99,"0",0.08,"N",4,10.0345158149425
24,28800,"MORTGAGE",6,"DEBTCONSOLIDATION","A",6075,8.49,"0",0.21,"N",2,10.268130666124
21,18000,"RENT",5,"PERSONAL","A",1800,6.62,"0",0.1,"N",3,9.7981270368783
24,24000,"RENT",0,"MEDICAL","B",1800,11.26,"0",0.07,"N",2,10.0858091093301
22,28800,"OWN",2,"PERSONAL","A",2000,NA,"0",0.07,"N",2,10.268130666124
25,45000,"RENT",2,"DEBTCONSOLIDATION","C",1800,12.61,"0",0.04,"Y",4,10.7144177687525
23,50960,"RENT",7,"VENTURE","D",1800,16.02,"0",0.04,"N",2,10.838796290246
22,73000,"RENT",1,"VENTURE","C",1800,11.41,"0",0.02,"N",3,11.1982147201305
21,14400,"RENT",2,"VENTURE","D",1825,15.62,"1",0.13,"N",2,9.57498348556409
23,16800,"RENT",0,"DEBTCONSOLIDATION","B",1950,10.37,"0",0.12,"N",2,9.72913416539135
24,28900,"MORTGAGE",2,"DEBTCONSOLIDATION","C",5500,12.98,"0",0.19,"Y",2,10.2715968741005
23,18000,"RENT",2,"EDUCATION","C",2000,14.79,"0",0.11,"N",3,9.7981270368783
